Product,Market,Month,Value
300S,Germany,Nov-08,24
300S,Germany,Dec-08,28
300S,Spain,Jan-07,20
300S,Spain,Feb-07,18
300S,Spain,Mar-07,23
300S,Spain,Apr-07,20
300S,Spain,May-07,28
300S,Spain,Jun-07,27
300S,Spain,Jul-07,17
300S,Spain,Aug-07,20
300S,Spain,Sep-07,20
300S,Spain,Oct-07,22
300S,Spain,Nov-07,22
300S,Spain,Dec-07,15
300S,Spain,Jan-08,21
300S,Spain,Feb-08,16
300S,Spain,Mar-08,19
300S,Spain,Apr-08,18
300S,Spain,May-08,23
300S,Spain,Jun-08,21
300S,Spain,Jul-08,14
300S,Spain,Aug-08,14
300S,Spain,Sep-08,14
300S,Spain,Oct-08,12
300S,Spain,Nov-08,20
300S,Spain,Dec-08,15
300S,Italy,Jan-07,7
300S,Italy,Feb-07,9
300S,Italy,Mar-07,6
300S,Italy,Apr-07,7
300S,Italy,May-07,6
300S,Italy,Jun-07,7
300S,Italy,Jul-07,5
300S,Italy,Aug-07,6
300S,Italy,Sep-07,5
300S,Italy,Oct-07,12
300S,Italy,Nov-07,7
300S,Italy,Dec-07,9
300S,Italy,Jan-08,5
300S,Italy,Feb-08,6
300S,Italy,Mar-08,12
300S,Italy,Apr-08,8
300S,Italy,May-08,7
300S,Italy,Jun-08,10
300S,Italy,Jul-08,2
300S,Italy,Aug-08,7
300S,Italy,Sep-08,4
300S,Italy,Oct-08,3
300S,Italy,Nov-08,9
300S,Italy,Dec-08,10
300S,China,Jan-07,33
300S,China,Feb-07,37
300S,China,Mar-07,29
300S,China,Apr-07,36
300S,China,May-07,30
300S,China,Jun-07,29
300S,China,Jul-07,28
300S,China,Aug-07,36
300S,China,Sep-07,30
300S,China,Oct-07,32
300S,China,Nov-07,28
300S,China,Dec-07,26
300S,China,Jan-08,32
300S,China,Feb-08,28
300S,China,Mar-08,32
300S,China,Apr-08,27
300S,China,May-08,25
300S,China,Jun-08,29
300S,China,Jul-08,27
300S,China,Aug-08,25
300S,China,Sep-08,21
300S,China,Oct-08,20
300S,China,Nov-08,19
300S,China,Dec-08,19
300S,Japan,Jan-07,11
300S,Japan,Feb-07,7
300S,Japan,Mar-07,12
300S,Japan,Apr-07,8
300S,Japan,May-07,10
300S,Japan,Jun-07,11
300S,Japan,Jul-07,6
300S,Japan,Aug-07,6
300S,Japan,Sep-07,6
300S,Japan,Oct-07,10
300S,Japan,Nov-07,13
300S,Japan,Dec-07,7
300S,Japan,Jan-08,9
300S,Japan,Feb-08,13
300S,Japan,Mar-08,9
300S,Japan,Apr-08,6
300S,Japan,May-08,12
300S,Japan,Jun-08,6
300S,Japan,Jul-08,11
300S,Japan,Aug-08,11
300S,Japan,Sep-08,6
300S,Japan,Oct-08,4
300S,Japan,Nov-08,9
300S,Japan,Dec-08,12
600S,US,Jan-07,6
600S,US,Feb-07,2
600S,US,Mar-07,5
600S,US,Apr-07,4
600S,US,May-07,4
600S,US,Jun-07,3
600S,US,Jul-07,7
600S,US,Aug-07,7
600S,US,Sep-07,7
600S,US,Oct-07,6
600S,US,Nov-07,5
600S,US,Dec-07,3
600S,US,Jan-08,5
600S,US,Feb-08,2
600S,US,Mar-08,6
600S,US,Apr-08,4
600S,US,May-08,1
600S,US,Jun-08,2
600S,US,Jul-08,2
600S,US,Aug-08,0
600S,US,Sep-08,8
600S,US,Oct-08,9
600S,US,Nov-08,3
600S,US,Dec-08,6
600S,Canada,Jan-07,74
600S,Canada,Feb-07,71
600S,Canada,Mar-07,78
600S,Canada,Apr-07,73
600S,Canada,May-07,76
600S,Canada,Jun-07,73
600S,Canada,Jul-07,78
600S,Canada,Aug-07,73
600S,Canada,Sep-07,79
600S,Canada,Oct-07,80
600S,Canada,Nov-07,75
600S,Canada,Dec-07,77
600S,Canada,Jan-08,83
600S,Canada,Feb-08,85
600S,Canada,Mar-08,85
600S,Canada,Apr-08,87
600S,Canada,May-08,81
600S,Canada,Jun-08,88
600S,Canada,Jul-08,85
600S,Canada,Aug-08,78
600S,Canada,Sep-08,79
600S,Canada,Oct-08,85
600S,Canada,Nov-08,84
600S,Canada,Dec-08,80
600S,Brazil,Jan-07,72
600S,Brazil,Feb-07,70
600S,Brazil,Mar-07,72
600S,Brazil,Apr-07,72
600S,Brazil,May-07,76
600S,Brazil,Jun-07,78
600S,Brazil,Jul-07,72
600S,Brazil,Aug-07,72
600S,Brazil,Sep-07,70
600S,Brazil,Oct-07,69
600S,Brazil,Nov-07,72
600S,Brazil,Dec-07,77
600S,Brazil,Jan-08,77
600S,Brazil,Feb-08,80
600S,Brazil,Mar-08,80
600S,Brazil,Apr-08,82
600S,Brazil,May-08,83
600S,Brazil,Jun-08,84
600S,Brazil,Jul-08,77
600S,Brazil,Aug-08,75
600S,Brazil,Sep-08,80
600S,Brazil,Oct-08,77
600S,Brazil,Nov-08,86
600S,Brazil,Dec-08,87
600S,Argentina,Jan-07,76
600S,Argentina,Feb-07,79
600S,Argentina,Mar-07,77
600S,Argentina,Apr-07,83
600S,Argentina,May-07,78
600S,Argentina,Jun-07,79
600S,Argentina,Jul-07,80
600S,Argentina,Aug-07,79
600S,Argentina,Sep-07,85
600S,Argentina,Oct-07,80
600S,Argentina,Nov-07,81
600S,Argentina,Dec-07,83
600S,Argentina,Jan-08,87
600S,Argentina,Feb-08,92
600S,Argentina,Mar-08,84
600S,Argentina,Apr-08,94
600S,Argentina,May-08,90
600S,Argentina,Jun-08,86
600S,Argentina,Jul-08,84
600S,Argentina,Aug-08,90
600S,Argentina,Sep-08,85
600S,Argentina,Oct-08,93
600S,Argentina,Nov-08,88
600S,Argentina,Dec-08,89
600S,UK,Jan-07,26
600S,UK,Feb-07,30
600S,UK,Mar-07,30
600S,UK,Apr-07,34
600S,UK,May-07,27
600S,UK,Jun-07,31
600S,UK,Jul-07,31
600S,UK,Aug-07,26
600S,UK,Sep-07,29
600S,UK,Oct-07,24
600S,UK,Nov-07,30
600S,UK,Dec-07,28
600S,UK,Jan-08,28
600S,UK,Feb-08,36
600S,UK,Mar-08,34
600S,UK,Apr-08,30
600S,UK,May-08,31
600S,UK,Jun-08,39
600S,UK,Jul-08,27
600S,UK,Aug-08,28
600S,UK,Sep-08,33
600S,UK,Oct-08,29
600S,UK,Nov-08,30
600S,UK,Dec-08,36
600S,France,Jan-07,118
600S,France,Feb-07,119
600S,France,Mar-07,115
600S,France,Apr-07,125
600S,France,May-07,125
600S,France,Jun-07,122
600S,France,Jul-07,111
600S,France,Aug-07,110
600S,France,Sep-07,111
600S,France,Oct-07,115
600S,France,Nov-07,120
600S,France,Dec-07,119
600S,France,Jan-08,127
600S,France,Feb-08,132
600S,France,Mar-08,130
600S,France,Apr-08,142
600S,France,May-08,141
600S,France,Jun-08,141
600S,France,Jul-08,124
600S,France,Aug-08,125
600S,France,Sep-08,130
600S,France,Oct-08,134
600S,France,Nov-08,128
600S,France,Dec-08,135
600S,Germany,Jan-07,107
600S,Germany,Feb-07,113
600S,Germany,Mar-07,115
600S,Germany,Apr-07,115
600S,Germany,May-07,118
600S,Germany,Jun-07,118
600S,Germany,Jul-07,107
600S,Germany,Aug-07,104
600S,Germany,Sep-07,108
600S,Germany,Oct-07,114
600S,Germany,Nov-07,110
600S,Germany,Dec-07,113
600S,Germany,Jan-08,122
600S,Germany,Feb-08,123
600S,Germany,Mar-08,127
600S,Germany,Apr-08,136
600S,Germany,May-08,140
600S,Germany,Jun-08,143
600S,Germany,Jul-08,124
600S,Germany,Aug-08,127
600S,Germany,Sep-08,124
600S,Germany,Oct-08,128
600S,Germany,Nov-08,123
600S,Germany,Dec-08,127
600S,Spain,Jan-07,69
600S,Spain,Feb-07,73
600S,Spain,Mar-07,78
600S,Spain,Apr-07,76
600S,Spain,May-07,77
600S,Spain,Jun-07,84
600S,Spain,Jul-07,67
600S,Spain,Aug-07,77
600S,Spain,Sep-07,73
600S,Spain,Oct-07,77
600S,Spain,Nov-07,71
600S,Spain,Dec-07,72
600S,Spain,Jan-08,80
600S,Spain,Feb-08,88
600S,Spain,Mar-08,85
600S,Spain,Apr-08,91
600S,Spain,May-08,88
600S,Spain,Jun-08,96
600S,Spain,Jul-08,82
600S,Spain,Aug-08,86
600S,Spain,Sep-08,83
600S,Spain,Oct-08,85
600S,Spain,Nov-08,80
600S,Spain,Dec-08,85
600S,Italy,Jan-07,81
600S,Italy,Feb-07,83
600S,Italy,Mar-07,82
600S,Italy,Apr-07,89
600S,Italy,May-07,92
600S,Italy,Jun-07,89
600S,Italy,Jul-07,75
600S,Italy,Aug-07,83
600S,Italy,Sep-07,78
600S,Italy,Oct-07,79
600S,Italy,Nov-07,85
600S,Italy,Dec-07,83
600S,Italy,Jan-08,98
600S,Italy,Feb-08,95
600S,Italy,Mar-08,96
600S,Italy,Apr-08,97
600S,Italy,May-08,105
600S,Italy,Jun-08,102
600S,Italy,Jul-08,91
600S,Italy,Aug-08,97
600S,Italy,Sep-08,97
600S,Italy,Oct-08,97
600S,Italy,Nov-08,97
600S,Italy,Dec-08,100
600S,China,Jan-07,99
600S,China,Feb-07,102
600S,China,Mar-07,104
600S,China,Apr-07,104
600S,China,May-07,109
600S,China,Jun-07,100
600S,China,Jul-07,109
600S,China,Aug-07,110
600S,China,Sep-07,106
600S,China,Oct-07,105
600S,China,Nov-07,112
600S,China,Dec-07,115
600S,China,Jan-08,111
600S,China,Feb-08,108
600S,China,Mar-08,109
600S,China,Apr-08,114
600S,China,May-08,112
600S,China,Jun-08,119
600S,China,Jul-08,120
600S,China,Aug-08,122
600S,China,Sep-08,115
600S,China,Oct-08,121
600S,China,Nov-08,118
600S,China,Dec-08,124
600S,Japan,Jan-07,22
600S,Japan,Feb-07,20
600S,Japan,Mar-07,16
600S,Japan,Apr-07,14
600S,Japan,May-07,21
600S,Japan,Jun-07,19
600S,Japan,Jul-07,23
600S,Japan,Aug-07,23
600S,Japan,Sep-07,14
600S,Japan,Oct-07,15
600S,Japan,Nov-07,14
600S,Japan,Dec-07,16
600S,Japan,Jan-08,21
600S,Japan,Feb-08,16
600S,Japan,Mar-08,23
600S,Japan,Apr-08,21
600S,Japan,May-08,22
600S,Japan,Jun-08,23
600S,Japan,Jul-08,16
600S,Japan,Aug-08,16
600S,Japan,Sep-08,24
600S,Japan,Oct-08,17
600S,Japan,Nov-08,21
600S,Japan,Dec-08,16
626S,US,Jan-07,73
626S,US,Feb-07,79
626S,US,Mar-07,82
626S,US,Apr-07,75
626S,US,May-07,81
626S,US,Jun-07,77
626S,US,Jul-07,75
626S,US,Aug-07,82
626S,US,Sep-07,78
626S,US,Oct-07,74
626S,US,Nov-07,76
626S,US,Dec-07,76
626S,US,Jan-08,81
626S,US,Feb-08,85
626S,US,Mar-08,84
626S,US,Apr-08,88
626S,US,May-08,85
626S,US,Jun-08,85
626S,US,Jul-08,88
626S,US,Aug-08,84
626S,US,Sep-08,91
626S,US,Oct-08,91
626S,US,Nov-08,83
626S,US,Dec-08,86
626S,Canada,Jan-07,52
626S,Canada,Feb-07,52
626S,Canada,Mar-07,55
626S,Canada,Apr-07,51
626S,Canada,May-07,47
626S,Canada,Jun-07,56
626S,Canada,Jul-07,54
626S,Canada,Aug-07,46
626S,Canada,Sep-07,49
626S,Canada,Oct-07,53
626S,Canada,Nov-07,51
626S,Canada,Dec-07,50
626S,Canada,Jan-08,52
626S,Canada,Feb-08,59
626S,Canada,Mar-08,60
626S,Canada,Apr-08,58
626S,Canada,May-08,58
626S,Canada,Jun-08,54
626S,Canada,Jul-08,55
626S,Canada,Aug-08,59
626S,Canada,Sep-08,53
626S,Canada,Oct-08,59
626S,Canada,Nov-08,61
626S,Canada,Dec-08,56
626S,Brazil,Jan-07,26
626S,Brazil,Feb-07,29
626S,Brazil,Mar-07,22
626S,Brazil,Apr-07,31
626S,Brazil,May-07,30
626S,Brazil,Jun-07,25
626S,Brazil,Jul-07,28
626S,Brazil,Aug-07,26
626S,Brazil,Sep-07,30
626S,Brazil,Oct-07,26
626S,Brazil,Nov-07,23
626S,Brazil,Dec-07,27
626S,Brazil,Jan-08,29
626S,Brazil,Feb-08,29
626S,Brazil,Mar-08,30
626S,Brazil,Apr-08,29
626S,Brazil,May-08,28
626S,Brazil,Jun-08,25
626S,Brazil,Jul-08,29
626S,Brazil,Aug-08,27
626S,Brazil,Sep-08,24
626S,Brazil,Oct-08,27
626S,Brazil,Nov-08,29
626S,Brazil,Dec-08,30
626S,Argentina,Jan-07,110
626S,Argentina,Feb-07,102
626S,Argentina,Mar-07,106
626S,Argentina,Apr-07,107
626S,Argentina,May-07,108
626S,Argentina,Jun-07,114
626S,Argentina,Jul-07,108
626S,Argentina,Aug-07,112
626S,Argentina,Sep-07,112
626S,Argentina,Oct-07,109
626S,Argentina,Nov-07,108
626S,Argentina,Dec-07,115
626S,Argentina,Jan-08,118
626S,Argentina,Feb-08,115
626S,Argentina,Mar-08,120
626S,Argentina,Apr-08,122
626S,Argentina,May-08,125
626S,Argentina,Jun-08,122
626S,Argentina,Jul-08,117
626S,Argentina,Aug-08,124
626S,Argentina,Sep-08,125
626S,Argentina,Oct-08,123
626S,Argentina,Nov-08,118
626S,Argentina,Dec-08,124
626S,UK,Jan-07,31
626S,UK,Feb-07,29
626S,UK,Mar-07,28
626S,UK,Apr-07,30
626S,UK,May-07,34
626S,UK,Jun-07,31
626S,UK,Jul-07,25
626S,UK,Aug-07,30
626S,UK,Sep-07,32
626S,UK,Oct-07,24
626S,UK,Nov-07,33
626S,UK,Dec-07,25
626S,UK,Jan-08,34
626S,UK,Feb-08,33
626S,UK,Mar-08,29
626S,UK,Apr-08,34
626S,UK,May-08,36
626S,UK,Jun-08,39
626S,UK,Jul-08,35
626S,UK,Aug-08,30
626S,UK,Sep-08,33
626S,UK,Oct-08,29
626S,UK,Nov-08,32
626S,UK,Dec-08,27
626S,France,Jan-07,22
626S,France,Feb-07,22
626S,France,Mar-07,25
626S,France,Apr-07,27
626S,France,May-07,22
626S,France,Jun-07,27
626S,France,Jul-07,18
626S,France,Aug-07,22
626S,France,Sep-07,21
626S,France,Oct-07,23
626S,France,Nov-07,25
626S,France,Dec-07,19
626S,France,Jan-08,23
626S,France,Feb-08,27
626S,France,Mar-08,27
626S,France,Apr-08,31
626S,France,May-08,29
626S,France,Jun-08,30
626S,France,Jul-08,23
626S,France,Aug-08,23
626S,France,Sep-08,28
626S,France,Oct-08,25
626S,France,Nov-08,26
626S,France,Dec-08,25
626S,Germany,Jan-07,22
626S,Germany,Feb-07,27
626S,Germany,Mar-07,24
626S,Germany,Apr-07,31
626S,Germany,May-07,31
626S,Germany,Jun-07,31
626S,Germany,Jul-07,27
626S,Germany,Aug-07,25
626S,Germany,Sep-07,27
626S,Germany,Oct-07,21
626S,Germany,Nov-07,29
626S,Germany,Dec-07,27
626S,Germany,Jan-08,32
626S,Germany,Feb-08,27
626S,Germany,Mar-08,27
626S,Germany,Apr-08,27
626S,Germany,May-08,34
626S,Germany,Jun-08,27
626S,Germany,Jul-08,29
626S,Germany,Aug-08,32
626S,Germany,Sep-08,33
626S,Germany,Oct-08,31
626S,Germany,Nov-08,28
626S,Germany,Dec-08,34
626S,Spain,Jan-07,19
626S,Spain,Feb-07,21
626S,Spain,Mar-07,12
626S,Spain,Apr-07,19
626S,Spain,May-07,21
626S,Spain,Jun-07,21
626S,Spain,Jul-07,16
626S,Spain,Aug-07,18
626S,Spain,Sep-07,17
626S,Spain,Oct-07,17
626S,Spain,Nov-07,18
